"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"EHD1",5.37534638429354,6.61113149902143,5.80771782729723,6.33256674475973,6.70638252917139,6.60862631539732,7.26467960248716,6.88646186336129
"CHD1",6.22378667369901,6.55641203602298,6.94503017408406,6.4297630865043,6.79753149436042,6.7104317694699,6.92406489150561,7.10539133149758
"ESM1",5.89791242951156,5.11387661264811,5.95068643293625,6.5083521355318,6.26266370303573,6.27501121959365,7.18572869481343,7.37160361950408
"MAP4K5",5.71544249834795,5.99012009017375,6.27050656845905,5.54552743017682,6.2130537492036,6.14663740328313,6.51156384918705,6.91657881010467
"AKAP11",6.43276244805875,6.71393587013747,6.6266618608784,7.15624449191691,6.61505473657772,6.62274745624769,7.79514846367722,7.92790096789539
"SEC63",7.37357897268229,7.36774110832373,7.83067529514347,7.37369392977587,7.7503276979862,7.73873865616608,7.98903209534863,7.99612183070334
"CLU",7.52470668960387,7.08318514612685,7.48648814312695,7.18001979751596,7.45853152317468,7.77038583025989,7.87987114292664,7.8088976557995
"COL5A1",4.77690770123303,4.67225806290035,4.58394829028162,5.34699272806939,4.8250554881373,4.85591392051529,5.52880764531749,5.69410804673095
"MAP3K8",2.75203353957372,2.7659671883677,2.78530960521355,2.8029201344567,3.08324947568791,3.69477562651801,3.45105032338017,3.93276930574022
"CSF2",6.58111378179705,6.94658029311643,6.64455249992569,6.78162024456907,8.66118319884378,8.6067842539315,8.77651334595435,8.73987254989781
"CYLD",6.76005804199395,5.85062077899017,7.02846151770899,5.72423465245861,7.23264374125876,7.11018471295722,6.5559356666351,6.47408110240697
"AGL",4.80917843021353,5.79750908372913,5.5825661134115,5.74266094935047,5.24499038471433,5.132275913645,6.82909497148602,7.22317973262786
"JAG1",6.59129549551534,6.86546950432716,7.22654243108062,6.2567126032715,7.06887811145078,7.21171973804112,6.97355686047039,7.05905718731326
"HBEGF",7.77974138207811,7.80913459673448,7.66968416290722,8.21590187370446,8.35107182773225,8.29782891308114,8.72538583139217,8.81776883237738
"DUSP6",9.05006463850318,9.48370768685883,9.19015762606597,9.66205085956555,9.24975561697749,9.46538485343548,10.1108500862175,10.0221131604822
"EFNA1",7.58069688321593,7.15812166967063,7.60802424176773,6.4568360083125,8.17341360676145,7.95398220529491,8.5799354045955,8.52150760925131
"EIF2S1",7.0160309187095,7.34527527894042,7.02401202810671,7.57283616758081,7.28863072689448,6.9555076329314,8.31301632137972,8.32791442460068
"EIF5A",8.50346514446938,8.25884218793238,8.81927944215157,9.49097683317053,9.00324824859019,8.91469970466406,9.71355326803346,9.38765528477477
"ELK4",5.67278057098899,6.30572705896308,5.8091176440223,6.59387302477507,5.87606460932847,6.25875201664056,6.9993631837649,6.96886941930679
"ESR1",6.1571186887732,5.90129445880818,5.91020985828231,5.92057173490993,5.83387683840025,5.81985697809044,5.44805467357307,5.38756801409712
"ETS2",6.59335530484895,7.00756074395592,6.65042512639558,6.48387477873687,7.23190254820257,7.02229123932712,7.15409185876858,7.35047425173931
"MECOM",5.42605605500282,4.64330862719969,5.6212631464234,4.95466142724288,5.60091126773748,5.95995457873429,5.16894596083283,5.52051931143831
"ZNF365",6.63294892559583,6.33820402891381,6.81721450677159,7.61824271031819,6.80833903065905,6.89041918824704,7.75918405112535,7.88668832240865
"DIS3",3.40330137109488,3.69073933329345,3.47036983709869,4.00293997338904,3.63394668633522,3.86259937785824,4.04080180789265,4.37756389788521
"KDM2A",6.21192103005914,5.98110730865389,6.54785570779286,5.98304464178292,6.58303613794441,6.55529055739608,6.70190403760277,6.74506726442821
