"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"203105_s_at",5.85103949087336,5.96751074400278,5.90745343492967,6.4063231431137,5.9655111741152,5.94678157734401,6.77584100408065,6.88381330913492
"215594_at",5.1774471699929,4.97250837499877,5.3202663297788,4.74614405896891,5.09388395322734,4.82535999953684,4.47628304715674,4.64596467131067
"218567_x_at",7.96393612627111,8.44268453521277,8.03957215352331,8.77148085757471,8.17761521578824,8.1939978572616,8.87687385168669,8.95104858571224
"208598_s_at",8.56966927929924,8.76368700480532,8.41723978090287,9.2182017739712,8.66276994854251,8.55716625579331,9.3103009434666,9.18450918068752
"218612_s_at",7.68883597837829,7.49245617494436,7.51301423013674,6.93295882736164,7.83249757673423,7.78422756029375,7.28154085857576,7.18994872079095
"212062_at",8.95603597461961,9.81866486126087,8.85161465473293,10.1625469290095,9.06163815358521,8.96953654525628,10.1097368464223,10.3097316772151
"207379_at",6.53042779685676,6.98297886077585,6.77906610797386,7.25603772030228,6.56976410878239,6.89086896637676,7.54965413598836,7.36558969057552
"219625_s_at",6.17057452829183,5.52062187713027,6.18404107792749,5.44660098449865,5.97053967358432,6.21870150053651,5.56756458367013,5.53286202901939
"207173_x_at",9.39289540038204,9.26512016294981,9.78265425776755,8.55244405280926,9.54749336617288,9.61866127611701,9.04599142286594,9.07910673589481
"205139_s_at",5.87197985159926,5.39087077800102,6.0674716266574,5.47347962553337,6.04296247286397,5.91593914640784,5.6138561090449,5.41414443623561
"217817_at",10.4640710738686,10.5942117778171,10.3930772360997,9.32691514298648,10.3700801363098,10.3320603742786,9.27798535089945,9.10879831329047
"213102_at",7.69360880204631,8.43314618172198,7.986466138224,7.82853485891115,8.0421031032319,8.01031974823642,8.29728361163596,8.344150853226
"200729_s_at",7.56634705317025,8.92355262814981,8.10381285946131,8.68774062693324,7.8049393476899,7.88407724053299,8.99114898417378,8.93546051315387
"222315_at",6.45284548861143,5.65144600273773,6.37233751081816,5.05162945782066,6.38802779040673,6.32059344731036,5.351364119739,5.17711204758161
"205180_s_at",6.46272411884203,6.23303928198082,6.62909641022517,6.26574964692098,6.65033965610592,6.81539689938391,6.04168008844097,5.99541929299268
"207149_at",6.84968423746952,5.65056324270375,7.08128712570041,5.54094271900219,7.01018869227333,6.96281157021582,5.70014433574513,5.83842119671938
"214331_at",4.23949694565341,4.9233205463411,4.39039407397747,4.5412789091608,4.59361910967057,4.69405557117715,5.20879499522854,5.39493142718271
"203445_s_at",9.05394867224567,8.74895801525833,9.23055889633177,8.43232367174043,9.12831866473873,9.22976273963518,8.71097947694121,8.56211045608052
"218755_at",5.46356889244014,7.59721392073425,5.65843994941591,7.85263863360801,5.31698818149711,5.29329215898993,8.26482260266304,8.51801623279421
"212367_at",6.03807150021021,5.70297818556331,6.11542191345394,5.70768896648411,6.27839519032159,6.39553187404103,6.33061581430999,6.46277954037634
"200720_s_at",7.58743512923205,8.18442483715631,7.50018367136779,8.13828194752931,7.53596772570559,7.69842428222551,8.43576814320938,8.26670011591591
"202207_at",7.21276319094511,6.42682828269593,7.10496427663239,6.5240745588121,7.17234489313081,7.14742206649651,6.58592050389987,6.67449602425234
"216640_s_at",9.86611595998839,10.5168779007032,10.0658233409866,10.5456818969701,10.0455924121645,10.0548916250309,10.494516503481,10.4778067098979
"201391_at",8.08680976245062,8.75944901562258,7.9896715212382,8.62537068031222,8.09183598058601,8.03928928838373,8.96384833518157,8.79485935806046
"202073_at",6.75908489968143,5.80972023780776,7.09408042832175,5.12930111333437,7.16771604412743,6.84577137325503,5.40904287344535,5.33871465525051
"217738_at",7.65933554236267,7.0732760397566,7.89261340545216,7.07200919715524,8.00698218387916,7.91785977862833,7.27615499470824,7.24443217483667
"212168_at",6.49236840306461,7.33534775444239,7.06726372110877,6.73491650634413,7.24813316902934,7.22912301121571,7.73241479982294,7.89467219188056
"202704_at",8.34398321769959,7.92364388249573,8.57801782141873,6.35690717757713,8.56382732724154,8.48630892746045,7.32544553122256,7.42799933916462
"210962_s_at",5.84115650303421,5.4677246073241,6.07135750720791,5.44445648021265,6.14446966926411,6.24140399864597,5.64221347360203,5.81882777053122
"202972_s_at",7.66058565338125,6.89634028676572,7.55410301452327,6.96180694268454,7.44903460338217,7.56585240977513,6.86380803945861,6.71557380557091
